AWS Account Number,AWS account Name,Account Provisioning Date,Active / Suspended, Classification,Management Type,Total Cost in Indian Rupees
722072123512,awsproject_backupsssamnonprod,Jul 14 2022,ACTIVE,Class-2,Self Service,10700
722072123513,awsproject_backupscdevsit,Nov 21 2022,ACTIVE,Class-2,Self Service,10900
722072123514,awsproject_itclab,Nov 22 2022,ACTIVE,Class-2,Self Service,11100
722072123515,awsproject_thetastaging,Nov 22 2022,ACTIVE,Class-1,Self Service,11300
722072123516,awsproject_she_non-prod_environment,Jan 28 2021,ACTIVE,Class-3,Self Service,11500
722072123517,awsproject_backupscmsasit,Feb 23 2023,ACTIVE,Class-3,Self Service,11700
722072123518,awsproject_c-devtykapigatewayc3,May 02 2023,ACTIVE,Class-2,Self Service,11900
722072123519,aws-plume,Nov 22 2022,ACTIVE,Class-1,Self Service,12100
722072123520,awsproject_awsprojectawsreportportal,Feb 18 2022,ACTIVE,Class-3,Self Service,12300
722072123521,awsproject_aisandbox,Jul 29 2022,ACTIVE,Class-3,Self Service,12500
722072123522,awsproject_backupsssamprod,Nov 23 2023,ACTIVE,Class-3,Self Service,12700
722072123523,awsproject_smarthomecontrollerpoc,May 03 2024,ACTIVE,Class-1,Self Service,12900
722072123524,awsproject_casmsa,Sep 03 2020,ACTIVE,Class-3,Self Service,13100
722072123525,awsproject_n_dyncdn_lab_ss,Nov 21 2022,ACTIVE,Class-3,Self Service,13300
722072123526,nl_p_dyncdn_prd,Feb 23 2022,ACTIVE,Class-1,Self Service,13500
722072123527,awsproject_vhmddrmlab,Nov 29 2019,ACTIVE,Class-2,Self Service,13700
722072123528,awsproject_n_dyncdn_lab_ci,Apr 03 2024,ACTIVE,Class-2,Self Service,13900
722072123529,awsproject_n_dyncdn_lab_cs,Apr 03 2024,ACTIVE,Class-3,Self Service,14100
722072123530,awsproject_n_dyncdn_lab_si,Dec 10 2021,ACTIVE,Class-2,Self Service,14300
722072123531,awsproject_n_dyncdn_dev,Apr 03 2024,ACTIVE,Class-2,Self Service,14500
722072123532,awsproject_n_dyncdn_mon,Apr 03 2024,ACTIVE,Class-2,Self Service,14700
722072123533,awsproject_vhmdcdn,Apr 03 2024,ACTIVE,Class-2,Self Service,14900
722072123534,awsproject_p_dyncdn_mon,Apr 03 2024,ACTIVE,Class-2,Self Service,15100
722072123535,nl_p_dyncdn_pre,Apr 03 2024,ACTIVE,Class-2,Self Service,15300
722072123536,awsproject_techdeptooling,Oct 25 2021,ACTIVE,Class-2,Self Service,15500
722072123537,awsproject_uspdev,Apr 03 2024,ACTIVE,Class-3,Self Service,15700
722072123538,awsproject_quartzseccnapptest,Apr 03 2024,ACTIVE,Class-3,Self Service,15900
722072123539,TestProvisioningAccountBugFixIAMPasswordPolicyv2,Feb 11 2022,ACTIVE,Class-3,Self Service,16100
722072123540,awsproject_testaccount0207,Sep 12 2024,ACTIVE,Class-2,Self Service,16300
722072123541,awsproject_breakglass,Aug 08 2024,ACTIVE,Class-2,Self Service,16500
722072123542,awsproject_testingaccount2506,Apr 25 2024,SUSPENDED,,Self Service,16700
722072123543,TestProvisioningAccount-BugFixIAMPasswordPolicy,Jul 02 2024,SUSPENDED,0,Self Service,16900
722072123544,TestProvisioningAccountBugFixIAMPasswordPolicy,Jul 05 2021,SUSPENDED,Class-3,Managed Services,17100
722072123545,awsproject_testclass209062023,Jun 26 2024,SUSPENDED,0,Self Service,17300
722072123546,awsproject_testclass309062023,Apr 24 2024,SUSPENDED,0,Self Service,17500
722072123547,TestProvisioningAccount-BugFixIAMPasswordPolicyv1,Apr 24 2024,SUSPENDED,#N/A,Self Service,17700
722072123548,awsproject_testaccount0307,Jun 09 2023,SUSPENDED,Class-2,Self Service,17900
722072123549,awsproject_test2,Jun 09 2023,SUSPENDED,Class-2,Self Service,18100
722072123550,awsproject_class1-separation,Apr 24 2024,SUSPENDED,0,Self Service,18300
722072123551,awsproject_awsprojectclass3testaccountdlownerchange,JUL 04 2024,SUSPENDED,Class-2,Self Service,18500
722072123552,awsproject_testnewpa,Jun 07 2023,SUSPENDED,Class-1,Self Service,18700
722072123553,awsproject_devopssecondment,May 10 2023,SUSPENDED,Class-1,Managed Services,18900
722072123554,awsproject_testingaccount2606,May 02 2024,SUSPENDED,Class-3,Self Service,19100
722072123555,awsproject_testaccount09062023,Jun 07 2023,SUSPENDED,Class-1,Self Service,19300
722072123556,awsproject_cyberarktest,May 03 2023,SUSPENDED,Class-1,Self Service,19500
722072123557,awsproject_cyberarkpoc,Jun 26 2024,SUSPENDED,Class-1,Self Service,19700
722072123558,awsproject_laceworkautomation,Jun 09 2023,SUSPENDED,Class-1,Self Service,19900
722072123559,ch_comapigatewaynonprod,Oct 06 2022,SUSPENDED,Class-1,Self Service,20100
722072123560,ch_comapigatewayprod,Oct 16 2023,SUSPENDED,Class-1,Self Service,20300
722072123561,awsproject_chcomapigateway,Jan 18 2023,NOT FOUND,Class-1,Managed Services,20500
722072123562,awsproject_dataprodaccount,Feb 14 2023,ACTIVE,Class-2,Self Service,20700
722072123563,awsproject_datatestaccount,Feb 14 2023,ACTIVE,Class-3,Self Service,20900
722072123564,awsproject_itcpolaris,Nov 04 2022,ACTIVE,Class-1,Self Service,21100
722072123565,awsproject_fixnetwork,Jul 17 2024,ACTIVE,Class-3,Self Service,21300
722072123566,awsproject_videoinnovation,Jul 17 2024,ACTIVE,Class-2,Self Service,21500
722072123567,awsproject_aviatrix-poc-aws-cloud,May 12 2021,ACTIVE,Class-1,Self Service,21700
722072123568,awsproject_aviatrix-poc-aws-onprem,Dec 14 2023,ACTIVE,Class-1,Self Service,21900
722072123569,awsproject_ch_cdns_alexa,Sep 24 2021,SUSPENDED,Class-1,Self Service,22100
722072123570,awsproject_polaris,Dec 20 2022,SUSPENDED,Class-1,Self Service,22300
722072123571,awsproject_cloudforensics,Dec 20 2022,SUSPENDED,Class-1,Self Service,22500
722072123572,awsproject_cloudarchitecturepoc,Mar 24 2021,SUSPENDED,Class-3,Self Service,22700
722072123573,ch_yolcsprod,Sep 16 2020,SUSPENDED,Class-1,Self Service,22900
722072123574,awsproject_mec_poc,Nov 30 2021,SUSPENDED,Class-1,Self Service,23100
722072123575,awsproject_flbbackendtest,Oct 24 2023,SUSPENDED,Class-1,Self Service,23300
722072123576,awsproject_flbinfra,May 26 2021,NOT FOUND,,Self service,23500
722072123577,ch_yolcsdevtest,Mar 20 2023,NOT FOUND,Class-1,Self service,23700
722072123578,awsproject_flbbackendprod,Apr 04 2024,NOT FOUND,Class-2,Self service,23900
722072123579,awsproject_architecturepoctest,Apr 04 2024,NOT FOUND,Class-3,Self service,24100
722072123580,AWS Download 2 GO Lab,May 26 2021,NOT FOUND,Class-2,Self service,24300
722072123581,AWS Download 2 GO Prod,Apr 04 2024,NOT FOUND,Class-3,Self service,24500
722072123582,AWS Magenta migration,Jun 24 2022,NOT FOUND,Class-2,Self service,24700
722072123583,AWS PROD Platform,44237,ACTIVE,Class-2,Self service,24900
722072123584,Cadent-Labs,43906,ACTIVE,Class-2,Self-service,25100
722072123585,Cadent-Prod,44973,ACTIVE,Class-2,Self-service,25300
722072123586,CTO AppSysDev,44931,ACTIVE,Class-2,Self-service,25500
722072123587,EOS Firmware Management,44407,ACTIVE,Class-2,Self-service,25700
722072123588,EOS HSM,44716,ACTIVE,Class-2,Self-service,25900
722072123589,EOS HSM PROD,43906,ACTIVE,Class-2,Self-service,26100
722072123590,External VOD staging - PROD - NL,44276,ACTIVE,Class-2,Self-service,26300
722072123591,HGO E2ESI,43906,ACTIVE,Class-2,Self-service,26500
722072123592,HRZ GO Backoffice - Labs,43906,ACTIVE,Class-2,Self-service,26700
722072123593,HRZ GO Backoffice - PreProd,44979,ACTIVE,Class-2,Self-service,26900
722072123594,HRZ GO Backoffice - Prod PE,44586,ACTIVE,Class-2,Self-service,27100
722072123596,hzngo-static-images,43906,ACTIVE,Class-2,Self-service,27300
722072123598,Identity,43906,ACTIVE,Class-2,Self-service,27500
722072123600,InfoSec,43906,ACTIVE,Class-2,Self-service,27700
722072123601,Irdeto Control,44441,SUSPENDED,Class-2,Self-service,27900
722072123603,awsproject backups,43906,ACTIVE,Class-2,Self-service,28100
722072123604,awsproject Telemetry,43906,ACTIVE,Class-2,Self-service,28300
722072123605,awsprojectI DEV,44276,ACTIVE,Class-2,Self-service,28500
722072123606,awsprojectI-Selene-DMS-Preprod,44430,ACTIVE,Class-2,Self-service,28700
722072123607,awsprojectI-Selene-DMS-Prod,44449,ACTIVE,Class-2,Self-service,28900
722072123608,awsprojectI-Selene-DSS-Preprod,43901,ACTIVE,Class-2,Self-service,29100
722072123609,awsprojectI-Selene-DSS-Prod,43906,ACTIVE,Class-2,Self-service,29300
,,,,Class-2,Self-service,29500
